,Date,Symbol,Open,High,Low,Close,SP,Vol,OI
0,2020-03-24,S50H20C575,0,0,0,0,116.8,0,0.0
1,2020-03-25,S50H20C575,0,0,0,0,153.3,0,0.0
2,2020-03-26,S50H20C575,0,0,0,0,162.3,0,0.0
3,2020-03-27,S50H20C575,0,0,0,0,164.8,0,0.0
4,2020-03-30,S50H20C575,0,0,0,0,731.35,0,0.0
5,2020-03-19,S50H20C600,60.1,97.0,60.1,97.0,97.0,4,4.0
6,2020-03-20,S50H20C600,109.0,109.0,109.0,109.0,119.0,1,4.0
7,2020-03-23,S50H20C600,0,0,0,0,85.2,0,4.0
8,2020-03-24,S50H20C600,0,0,0,0,93.6,0,4.0
9,2020-03-25,S50H20C600,0,0,0,0,128.7,0,4.0
10,2020-03-26,S50H20C600,0,0,0,0,137.4,0,4.0
11,2020-03-27,S50H20C600,0,0,0,0,139.9,0,4.0
12,2020-03-30,S50H20C600,0,0,0,0,731.35,0,4.0
13,2020-03-18,S50H20C625,64.0,99.0,64.0,75.0,75.0,53,37.0
14,2020-03-19,S50H20C625,53.0,53.0,53.0,53.0,63.0,1,38.0
15,2020-03-20,S50H20C625,120.0,120.0,120.0,120.0,120.0,1,38.0
16,2020-03-23,S50H20C625,0,0,0,0,65.4,0,38.0
17,2020-03-24,S50H20C625,74.0,74.0,74.0,74.0,74.0,2,38.0
18,2020-03-25,S50H20C625,0,0,0,0,104.7,0,38.0
19,2020-03-26,S50H20C625,0,0,0,0,112.8,0,38.0
20,2020-03-27,S50H20C625,0,0,0,0,115.0,0,38.0
21,2020-03-30,S50H20C625,0,0,0,0,731.35,0,38.0
22,2020-03-17,S50H20C650,62.0,68.2,61.7,68.2,68.2,35,35.0
23,2020-03-18,S50H20C650,63.0,68.1,59.0,59.0,59.0,30,65.0
24,2020-03-19,S50H20C650,43.0,45.0,40.0,45.0,45.0,24,88.0
25,2020-03-20,S50H20C650,90.0,96.0,90.0,96.0,96.1,3,90.0
26,2020-03-23,S50H20C650,65.0,65.0,52.0,65.0,63.9,9,98.0
27,2020-03-24,S50H20C650,51.0,52.0,51.0,52.0,52.0,3,98.0
28,2020-03-25,S50H20C650,0,0,0,0,82.1,0,98.0
29,2020-03-26,S50H20C650,90.0,90.0,81.0,84.0,88.9,10,97.0
30,2020-03-27,S50H20C650,105.0,105.0,101.0,101.0,101.0,3,96.0
31,2020-03-30,S50H20C650,0,0,0,0,731.35,0,96.0
32,2020-03-13,S50H20C675,22.0,108.0,22.0,82.7,83.0,391,340.0
33,2020-03-16,S50H20C675,55.0,56.0,45.0,47.6,47.6,24,335.0
34,2020-03-17,S50H20C675,51.0,51.0,41.0,43.0,43.0,71,389.0
35,2020-03-18,S50H20C675,47.5,59.9,34.7,44.7,44.7,13,395.0
36,2020-03-19,S50H20C675,25.0,35.0,25.0,30.0,37.0,12,401.0
37,2020-03-20,S50H20C675,36.0,85.0,36.0,85.0,85.0,8,403.0
38,2020-03-23,S50H20C675,50.0,50.0,22.6,24.0,24.0,25,405.0
39,2020-03-24,S50H20C675,35.6,50.0,28.0,40.0,40.0,16,404.0
40,2020-03-25,S50H20C675,37.5,58.0,37.5,58.0,58.0,3,404.0
41,2020-03-26,S50H20C675,45.0,64.0,45.0,63.0,63.3,5,401.0
42,2020-03-27,S50H20C675,75.0,75.0,65.0,65.0,65.0,7,394.0
43,2020-03-30,S50H20C675,0,0,0,0,731.35,0,394.0
44,2020-03-13,S50H20C700,22.0,80.0,10.0,66.0,66.0,117,65.0
45,2020-03-16,S50H20C700,23.0,45.0,23.0,35.1,35.1,11,68.0
46,2020-03-17,S50H20C700,35.0,40.0,30.0,30.0,30.0,24,77.0
47,2020-03-18,S50H20C700,33.5,44.0,5.0,33.0,33.0,115,130.0
48,2020-03-19,S50H20C700,32.9,32.9,15.1,26.5,25.8,176,211.0
49,2020-03-20,S50H20C700,34.8,70.8,25.1,70.0,70.0,133,187.0
50,2020-03-23,S50H20C700,25.0,25.5,11.3,13.0,12.9,115,234.0
51,2020-03-24,S50H20C700,18.6,30.1,13.0,23.5,23.5,99,253.0
52,2020-03-25,S50H20C700,40.0,53.0,24.0,40.0,38.9,48,244.0
53,2020-03-26,S50H20C700,38.7,50.0,35.5,50.0,49.8,20,236.0
54,2020-03-27,S50H20C700,60.0,64.9,32.0,32.0,39.1,12,230.0
55,2020-03-30,S50H20C700,33.5,33.5,24.0,30.7,731.35,21,228.0
56,2020-03-13,S50H20C725,8.0,70.0,8.0,36.1,40.0,97,61.0
57,2020-03-16,S50H20C725,18.0,32.0,18.0,23.0,23.0,28,72.0
58,2020-03-17,S50H20C725,22.1,31.0,19.7,19.7,19.8,28,92.0
59,2020-03-18,S50H20C725,20.0,29.0,9.0,22.0,22.0,67,112.0
60,2020-03-19,S50H20C725,10.0,17.8,10.0,17.0,17.2,97,172.0
61,2020-03-20,S50H20C725,27.0,50.0,19.0,42.0,42.0,142,203.0
62,2020-03-23,S50H20C725,25.4,25.4,6.0,6.0,6.3,243,276.0
63,2020-03-24,S50H20C725,13.5,18.7,9.0,17.7,17.3,284,361.0
64,2020-03-25,S50H20C725,18.1,34.0,11.0,18.0,18.0,186,334.0
65,2020-03-26,S50H20C725,18.0,28.9,15.1,26.0,26.0,114,355.0
66,2020-03-27,S50H20C725,35.0,40.0,16.0,22.5,22.9,92,347.0
67,2020-03-30,S50H20C725,19.9,19.9,5.0,6.6,731.35,232,401.0
68,2020-03-13,S50H20C750,32.5,36.9,21.0,36.0,36.0,87,86.0
69,2020-03-16,S50H20C750,30.0,30.0,17.0,18.2,19.0,42,104.0
70,2020-03-17,S50H20C750,30.0,30.0,13.0,13.0,13.8,61,125.0
71,2020-03-18,S50H20C750,17.1,20.0,8.8,12.5,12.2,91,156.0
72,2020-03-19,S50H20C750,9.1,11.0,5.6,10.2,10.0,79,189.0
73,2020-03-20,S50H20C750,15.9,33.9,13.0,31.0,30.4,231,281.0
74,2020-03-23,S50H20C750,7.6,11.0,4.0,5.0,5.0,276,389.0
75,2020-03-24,S50H20C750,7.5,11.0,5.0,10.0,10.0,168,432.0
