,Date,Symbol,Open,High,Low,Close,SP,Vol,OI
0,2013-08-28,S50U13P825,15.0,15.5,9.0,11.0,11.1,25,22.0
1,2013-08-29,S50U13P825,10.0,11.5,9.0,11.0,11.0,14,35.0
2,2013-08-30,S50U13P825,11.0,13.5,10.0,11.2,11.5,21,42.0
3,2013-09-02,S50U13P825,8.0,11.2,7.0,7.0,7.0,15,56.0
4,2013-09-03,S50U13P825,7.2,9.8,7.1,9.0,9.0,9,61.0
5,2013-09-04,S50U13P825,10.0,12.0,8.5,12.0,12.0,7,63.0
6,2013-09-05,S50U13P825,11.0,11.0,8.0,8.0,8.1,4,65.0
7,2013-09-06,S50U13P825,8.0,11.0,6.2,6.8,6.8,20,74.0
8,2013-09-09,S50U13P825,4.0,4.6,2.3,2.5,2.5,11,80.0
9,2013-09-10,S50U13P825,1.5,1.5,1.5,1.5,1.5,1,81.0
10,2013-09-11,S50U13P825,0,0,0,0,0.1,0,81.0
11,2013-09-12,S50U13P825,1.2,1.2,1.2,1.2,1.2,2,82.0
12,2013-09-13,S50U13P825,0,0,0,0,0.1,0,82.0
13,2013-09-16,S50U13P825,1.0,1.0,1.0,1.0,0.1,1,82.0
14,2013-09-17,S50U13P825,0,0,0,0,0.1,0,82.0
15,2013-09-18,S50U13P825,0.5,0.5,0.5,0.5,0.1,12,82.0
16,2013-09-19,S50U13P825,0,0,0,0,0.1,0,82.0
17,2013-09-20,S50U13P825,0,0,0,0,0.1,0,82.0
18,2013-09-23,S50U13P825,0,0,0,0,0.1,0,82.0
19,2013-09-24,S50U13P825,0,0,0,0,0.1,0,82.0
20,2013-09-25,S50U13P825,0,0,0,0,0.1,0,82.0
21,2013-09-26,S50U13P825,0,0,0,0,0.1,0,82.0
22,2013-09-27,S50U13P825,0,0,0,0,966.46,0,82.0
23,2013-08-26,S50U13P850,8.3,9.2,8.3,9.2,9.2,4,4.0
24,2013-08-27,S50U13P850,13.0,18.9,13.0,18.9,18.9,16,13.0
25,2013-08-28,S50U13P850,24.0,28.0,22.0,24.9,24.9,10,15.0
26,2013-08-29,S50U13P850,20.0,22.0,16.5,16.5,17.5,8,23.0
27,2013-08-30,S50U13P850,16.5,22.9,15.0,22.9,22.9,5,22.0
28,2013-09-02,S50U13P850,0,0,0,0,7.8,0,22.0
29,2013-09-03,S50U13P850,10.9,12.5,10.9,11.6,12.6,14,33.0
30,2013-09-04,S50U13P850,18.4,18.4,18.4,18.4,18.4,1,34.0
31,2013-09-05,S50U13P850,17.9,17.9,17.9,17.9,17.9,1,35.0
32,2013-09-06,S50U13P850,11.5,11.5,11.0,11.0,11.0,4,36.0
33,2013-09-09,S50U13P850,3.2,5.0,3.2,4.0,4.1,15,44.0
34,2013-09-10,S50U13P850,3.0,3.0,2.0,2.0,2.0,4,44.0
35,2013-09-11,S50U13P850,0,0,0,0,0.1,0,44.0
36,2013-09-12,S50U13P850,2.0,2.0,2.0,2.0,2.0,1,44.0
37,2013-09-13,S50U13P850,0,0,0,0,0.1,0,44.0
38,2013-09-16,S50U13P850,1.5,1.5,1.5,1.5,0.1,2,44.0
39,2013-09-17,S50U13P850,1.0,1.0,1.0,1.0,0.1,1,44.0
40,2013-09-18,S50U13P850,0,0,0,0,0.1,0,44.0
41,2013-09-19,S50U13P850,1.1,1.1,1.1,1.1,0.1,2,44.0
42,2013-09-20,S50U13P850,0,0,0,0,0.1,0,44.0
43,2013-09-23,S50U13P850,0,0,0,0,0.1,0,44.0
44,2013-09-24,S50U13P850,0,0,0,0,0.1,0,44.0
45,2013-09-25,S50U13P850,0,0,0,0,0.1,0,44.0
46,2013-09-26,S50U13P850,0,0,0,0,0.1,0,44.0
47,2013-09-27,S50U13P850,0,0,0,0,966.46,0,44.0
48,2013-06-21,S50U13P875,0,0,0,0,21.4,0,0.0
49,2013-06-24,S50U13P875,29.9,29.9,29.9,29.9,29.9,1,1.0
50,2013-06-25,S50U13P875,29.0,29.0,29.0,29.0,21.6,1,2.0
51,2013-06-26,S50U13P875,17.0,17.0,15.0,16.9,16.9,6,8.0
52,2013-06-27,S50U13P875,15.0,16.8,15.0,15.0,15.0,64,71.0
53,2013-06-28,S50U13P875,10.0,19.9,10.0,15.0,15.0,7,77.0
54,2013-07-02,S50U13P875,14.9,15.7,14.8,15.0,15.0,93,167.0
55,2013-07-03,S50U13P875,15.5,15.5,15.0,15.4,15.4,16,182.0
56,2013-07-04,S50U13P875,15.0,15.5,15.0,15.5,15.5,9,188.0
57,2013-07-05,S50U13P875,15.0,15.4,15.0,15.0,15.0,28,214.0
58,2013-07-08,S50U13P875,15.1,18.0,15.1,17.0,17.0,8,219.0
59,2013-07-09,S50U13P875,20.0,20.0,18.0,18.1,18.1,16,225.0
60,2013-07-10,S50U13P875,20.1,25.0,20.0,25.0,25.0,8,229.0
61,2013-07-11,S50U13P875,15.1,16.3,15.1,15.2,15.2,34,258.0
62,2013-07-12,S50U13P875,12.0,14.9,12.0,14.9,14.9,4,260.0
63,2013-07-15,S50U13P875,8.0,14.0,8.0,14.0,14.0,7,262.0
64,2013-07-16,S50U13P875,14.9,15.7,14.9,15.4,14.9,6,267.0
65,2013-07-17,S50U13P875,14.0,14.0,14.0,14.0,14.0,2,267.0
66,2013-07-18,S50U13P875,10.0,10.8,10.0,10.0,10.0,22,282.0
67,2013-07-19,S50U13P875,10.0,13.0,10.0,13.0,13.0,7,289.0
68,2013-07-23,S50U13P875,10.0,10.0,7.5,7.5,7.5,17,298.0
69,2013-07-24,S50U13P875,7.0,7.1,7.0,7.0,7.1,35,333.0
70,2013-07-25,S50U13P875,9.0,14.4,9.0,14.4,14.4,13,342.0
71,2013-07-26,S50U13P875,14.0,14.5,10.2,10.4,10.4,37,376.0
72,2013-07-29,S50U13P875,10.1,10.3,10.1,10.2,10.3,9,374.0
73,2013-07-30,S50U13P875,10.0,12.0,10.0,12.0,12.0,36,407.0
74,2013-07-31,S50U13P875,13.0,15.0,13.0,14.2,13.9,65,430.0
75,2013-08-01,S50U13P875,12.0,12.2,12.0,12.0,12.0,33,463.0
76,2013-08-02,S50U13P875,14.0,14.1,14.0,14.0,14.0,21,480.0
77,2013-08-05,S50U13P875,15.9,15.9,15.0,15.0,14.0,6,485.0
78,2013-08-06,S50U13P875,12.0,12.0,11.0,11.0,11.4,51,534.0
79,2013-08-07,S50U13P875,0,0,0,0,7.6,0,534.0
80,2013-08-08,S50U13P875,7.5,11.0,7.5,10.0,10.0,34,550.0
81,2013-08-09,S50U13P875,9.0,10.0,9.0,10.0,10.0,62,606.0
82,2013-08-13,S50U13P875,8.0,8.7,8.0,8.7,8.7,51,654.0
83,2013-08-14,S50U13P875,7.0,8.1,7.0,8.0,8.0,105,709.0
84,2013-08-15,S50U13P875,8.0,8.0,8.0,8.0,8.0,50,759.0
85,2013-08-16,S50U13P875,9.0,9.0,8.5,8.5,8.5,2,759.0
86,2013-08-19,S50U13P875,11.5,11.5,10.0,10.0,10.0,13,768.0
87,2013-08-20,S50U13P875,14.2,16.0,14.2,15.0,15.0,128,778.0
88,2013-08-21,S50U13P875,22.0,22.0,15.0,19.5,19.5,40,788.0
89,2013-08-22,S50U13P875,22.0,23.9,18.1,18.1,18.1,43,803.0
90,2013-08-23,S50U13P875,15.0,21.7,15.0,21.7,21.7,16,801.0
91,2013-08-26,S50U13P875,15.9,22.9,15.9,19.0,19.0,18,807.0
92,2013-08-27,S50U13P875,23.9,29.9,22.0,26.0,28.6,47,798.0
93,2013-08-28,S50U13P875,38.9,40.0,25.1,25.1,31.1,47,777.0
94,2013-08-29,S50U13P875,31.0,32.9,22.0,22.0,23.1,60,784.0
95,2013-08-30,S50U13P875,32.4,37.9,24.1,24.1,26.0,15,790.0
96,2013-09-02,S50U13P875,26.0,26.0,20.0,20.0,20.0,18,800.0
97,2013-09-03,S50U13P875,22.0,23.5,17.0,23.5,23.4,16,809.0
98,2013-09-04,S50U13P875,27.9,27.9,22.1,23.0,23.8,6,810.0
99,2013-09-05,S50U13P875,24.0,24.5,18.5,24.0,24.0,12,815.0
100,2013-09-06,S50U13P875,20.0,20.0,13.0,13.0,13.0,27,819.0
101,2013-09-09,S50U13P875,11.0,11.0,7.1,7.5,7.5,59,820.0
102,2013-09-10,S50U13P875,4.1,7.0,4.0,6.0,6.0,44,831.0
103,2013-09-11,S50U13P875,4.6,6.0,4.6,5.0,5.0,86,841.0
104,2013-09-12,S50U13P875,4.0,6.0,4.0,5.0,5.0,37,864.0
105,2013-09-13,S50U13P875,5.1,5.2,4.0,5.0,5.0,48,872.0
106,2013-09-16,S50U13P875,3.5,3.5,2.0,2.0,2.0,15,872.0
107,2013-09-17,S50U13P875,2.5,2.5,1.2,1.5,1.5,16,884.0
108,2013-09-18,S50U13P875,1.0,1.5,1.0,1.5,1.4,9,892.0
109,2013-09-19,S50U13P875,1.4,1.8,1.0,1.0,0.1,7,889.0
110,2013-09-20,S50U13P875,0.7,0.7,0.5,0.5,0.5,10,889.0
111,2013-09-23,S50U13P875,0.9,0.9,0.9,0.9,0.9,2,889.0
112,2013-09-24,S50U13P875,0.7,1.0,0.7,1.0,0.1,11,878.0
113,2013-09-25,S50U13P875,0,0,0,0,0.1,0,878.0
114,2013-09-26,S50U13P875,0.1,0.1,0.1,0.1,0.1,1,878.0
115,2013-09-27,S50U13P875,0,0,0,0,966.46,0,878.0
116,2013-06-13,S50U13P900,0,0,0,0,27.5,0,0.0
117,2013-06-14,S50U13P900,0,0,0,0,18.7,0,0.0
118,2013-06-17,S50U13P900,0,0,0,0,17.2,0,0.0
119,2013-06-18,S50U13P900,18.0,30.0,18.0,30.0,27.0,13,13.0
120,2013-06-19,S50U13P900,20.0,24.5,20.0,20.0,23.9,6,15.0
121,2013-06-20,S50U13P900,49.9,59.9,44.9,44.9,42.7,3,16.0
122,2013-06-21,S50U13P900,0,0,0,0,30.3,0,16.0
