,Date,Symbol,Open,High,Low,Close,SP,Vol,OI
0,2016-12-29,S50M17P900,19.4,20.2,15.7,15.7,15.7,18,18.0
1,2016-12-30,S50M17P900,15.0,15.0,14.0,14.0,14.4,5,21.0
2,2017-01-04,S50M17P900,17.0,17.2,11.0,11.0,11.0,55,72.0
3,2017-01-05,S50M17P900,10.2,10.2,9.9,9.9,9.9,30,82.0
4,2017-01-06,S50M17P900,10.7,10.8,8.8,10.0,10.0,45,117.0
5,2017-01-09,S50M17P900,11.1,12.7,11.1,12.7,5.4,133,237.0
6,2017-01-10,S50M17P900,10.5,11.5,10.3,11.0,11.0,34,250.0
7,2017-01-11,S50M17P900,10.0,10.5,10.0,10.5,4.2,135,351.0
8,2017-01-12,S50M17P900,10.5,11.3,10.5,11.0,11.0,66,407.0
9,2017-01-13,S50M17P900,12.3,12.3,10.5,10.5,10.5,201,607.0
10,2017-01-16,S50M17P900,12.5,13.0,10.8,12.0,12.0,245,808.0
11,2017-01-17,S50M17P900,12.0,12.9,12.0,12.4,12.4,27,835.0
12,2017-01-18,S50M17P900,12.0,13.4,12.0,13.4,13.4,135,970.0
13,2017-01-19,S50M17P900,13.4,14.0,13.4,13.4,13.7,161,1130.0
14,2017-01-20,S50M17P900,14.0,14.0,12.5,12.5,12.5,25,1144.0
15,2017-01-23,S50M17P900,12.2,12.4,12.0,12.0,12.0,152,1276.0
16,2017-01-24,S50M17P900,10.5,10.6,10.0,10.0,10.0,50,1326.0
17,2017-01-25,S50M17P900,9.1,9.5,9.1,9.2,9.2,3,1328.0
18,2017-01-26,S50M17P900,7.2,7.6,7.2,7.5,7.5,10,1334.0
19,2017-01-27,S50M17P900,7.6,8.0,7.6,7.6,7.6,34,1334.0
20,2017-01-30,S50M17P900,8.0,8.4,7.7,8.0,8.0,247,1402.0
21,2017-01-31,S50M17P900,8.7,9.6,8.7,9.6,9.6,35,1436.0
22,2017-02-01,S50M17P900,9.7,9.9,9.6,9.7,9.7,75,1511.0
23,2017-02-02,S50M17P900,9.2,10.0,9.2,10.0,10.0,16,1527.0
24,2017-02-03,S50M17P900,10.0,10.0,7.3,7.3,7.5,59,1581.0
25,2017-02-06,S50M17P900,7.5,7.9,7.0,7.0,7.0,238,1724.0
26,2017-02-07,S50M17P900,7.0,8.0,7.0,8.0,8.0,244,1954.0
27,2017-02-08,S50M17P900,7.1,8.2,6.7,7.8,7.8,26,1966.0
28,2017-02-09,S50M17P900,6.9,8.3,6.9,8.3,8.3,2,1967.0
29,2017-02-10,S50M17P900,6.8,7.3,6.8,7.3,7.3,3,1969.0
30,2017-02-14,S50M17P900,6.3,8.2,6.3,8.2,8.2,237,2201.0
31,2017-02-15,S50M17P900,7.6,9.0,6.8,6.8,6.9,48,2239.0
32,2017-02-16,S50M17P900,8.0,9.0,6.4,6.4,6.7,113,2282.0
33,2017-02-17,S50M17P900,6.3,6.5,5.6,6.0,6.0,79,2331.0
34,2017-02-20,S50M17P900,6.1,6.9,5.4,5.4,5.4,40,2364.0
35,2017-02-21,S50M17P900,6.0,6.6,5.2,6.6,6.6,82,2446.0
36,2017-02-22,S50M17P900,6.1,6.7,5.0,6.7,5.9,82,2526.0
37,2017-02-23,S50M17P900,5.0,6.1,5.0,5.0,5.0,27,2528.0
38,2017-02-24,S50M17P900,5.5,5.5,5.2,5.5,5.5,53,2543.0
39,2017-02-27,S50M17P900,5.2,6.0,5.0,5.6,5.6,24,2563.0
40,2017-02-28,S50M17P900,4.3,5.3,4.3,5.3,5.3,17,2562.0
41,2017-03-01,S50M17P900,5.6,5.6,3.8,3.9,3.9,116,2652.0
42,2017-03-02,S50M17P900,4.1,4.1,3.4,3.8,3.8,80,2719.0
