,Date,Symbol,Open,High,Low,Close,SP,Vol,OI
0,2016-01-08,S50H16P700,10.0,11.5,7.8,8.1,8.1,180,170.0
1,2016-01-11,S50H16P700,12.9,13.5,9.5,9.5,9.5,247,287.0
2,2016-01-12,S50H16P700,8.7,10.5,7.1,7.5,7.5,17,295.0
3,2016-01-13,S50H16P700,6.7,6.7,5.5,5.5,5.5,17,307.0
4,2016-01-14,S50H16P700,5.8,7.2,5.7,7.2,7.2,27,321.0
5,2016-01-15,S50H16P700,8.1,10.9,8.1,10.9,10.9,61,370.0
6,2016-01-18,S50H16P700,13.4,13.5,10.5,11.0,11.0,131,472.0
7,2016-01-19,S50H16P700,10.1,11.5,7.9,8.0,7.9,36,465.0
8,2016-01-20,S50H16P700,5.1,11.4,5.1,10.0,10.2,51,479.0
9,2016-01-21,S50H16P700,7.0,12.0,7.0,11.9,11.9,20,483.0
10,2016-01-22,S50H16P700,6.2,10.3,5.9,6.7,6.7,262,715.0
11,2016-01-25,S50H16P700,6.0,7.9,5.6,7.9,7.9,47,745.0
12,2016-01-26,S50H16P700,7.5,7.5,7.0,7.0,7.0,18,752.0
13,2016-01-27,S50H16P700,5.6,7.0,5.6,5.7,5.7,9,760.0
14,2016-01-28,S50H16P700,5.6,5.7,5.0,5.0,5.0,113,852.0
15,2016-01-29,S50H16P700,5.5,5.9,4.5,4.5,4.5,35,847.0
16,2016-02-01,S50H16P700,5.0,5.0,3.7,4.8,4.8,53,826.0
17,2016-02-02,S50H16P700,4.0,4.8,4.0,4.8,4.8,21,827.0
18,2016-02-03,S50H16P700,5.0,5.0,4.5,4.5,4.5,5,828.0
19,2016-02-04,S50H16P700,4.5,4.5,3.9,3.9,3.9,6,834.0
20,2016-02-05,S50H16P700,3.0,3.1,3.0,3.1,3.1,21,854.0
21,2016-02-08,S50H16P700,4.0,4.0,4.0,4.0,3.5,5,854.0
22,2016-02-09,S50H16P700,3.7,4.0,3.5,3.5,3.5,11,865.0
23,2016-02-10,S50H16P700,3.0,3.0,2.9,2.9,2.9,2,867.0
24,2016-02-11,S50H16P700,3.3,5.0,2.4,4.0,4.0,34,877.0
25,2016-02-12,S50H16P700,4.1,4.5,4.1,4.1,4.1,56,928.0
26,2016-02-15,S50H16P700,7.0,7.0,4.5,4.5,4.0,4,929.0
27,2016-02-16,S50H16P700,3.9,4.0,3.0,4.0,4.0,9,931.0
28,2016-02-17,S50H16P700,3.9,3.9,3.9,3.9,3.9,1,931.0
29,2016-02-18,S50H16P700,0,0,0,0,0.1,100,831.0
30,2016-02-19,S50H16P700,2.5,2.5,2.0,2.0,2.0,3,830.0
31,2016-02-23,S50H16P700,1.8,1.8,1.5,1.8,1.8,65,774.0
32,2016-02-24,S50H16P700,2.0,2.0,1.5,1.5,1.5,3,774.0
33,2016-02-25,S50H16P700,0,0,0,0,0.1,0,774.0
34,2016-02-26,S50H16P700,1.0,1.0,1.0,1.0,1.0,1,774.0
35,2016-02-29,S50H16P700,0,0,0,0,0.1,0,774.0
36,2016-03-01,S50H16P700,1.0,1.0,1.0,1.0,1.0,1,774.0
37,2016-03-02,S50H16P700,1.9,2.0,1.4,1.5,1.5,32,770.0
38,2016-03-03,S50H16P700,1.3,1.3,1.3,1.3,1.3,5,770.0
39,2016-03-04,S50H16P700,1.3,1.3,0.5,0.5,0.5,41,753.0
40,2016-03-07,S50H16P700,0.5,0.5,0.5,0.5,0.5,1,752.0
41,2016-03-08,S50H16P700,0.9,0.9,0.9,0.9,0.9,10,762.0
42,2016-03-09,S50H16P700,0.9,0.9,0.5,0.9,0.9,30,733.0
43,2016-03-10,S50H16P700,0.8,0.8,0.7,0.8,0.8,28,710.0
44,2016-03-11,S50H16P700,0.7,0.7,0.3,0.3,0.3,12,710.0
45,2016-03-14,S50H16P700,0,0,0,0,0.1,0,710.0
46,2016-03-15,S50H16P700,0,0,0,0,0.1,0,710.0
47,2016-03-16,S50H16P700,0,0,0,0,0.1,0,710.0
48,2016-03-17,S50H16P700,0.7,0.7,0.5,0.5,0.5,2,710.0
49,2016-03-18,S50H16P700,0,0,0,0,0.1,0,710.0
50,2016-03-21,S50H16P700,0,0,0,0,0.1,0,710.0
51,2016-03-22,S50H16P700,0,0,0,0,0.1,0,710.0
