,Date,Symbol,Open,High,Low,Close,SP,Vol,OI
0,2015-08-25,S50U15C800,43.1,60.1,43.1,58.3,58.3,94,90.0
1,2015-08-26,S50U15C800,50.1,63.0,50.1,51.8,52.1,43,131.0
2,2015-08-27,S50U15C800,72.3,74.8,72.3,74.8,89.0,17,148.0
3,2015-08-28,S50U15C800,92.0,92.0,92.0,92.0,95.3,10,148.0
4,2015-08-31,S50U15C800,0,0,0,0,105.9,0,148.0
5,2015-09-01,S50U15C800,0,0,0,0,90.2,0,148.0
6,2015-09-02,S50U15C800,0,0,0,0,98.0,0,148.0
7,2015-09-03,S50U15C800,0,0,0,0,103.3,0,148.0
8,2015-09-04,S50U15C800,0,0,0,0,92.5,0,148.0
9,2015-09-07,S50U15C800,84.0,84.0,84.0,84.0,91.6,1,147.0
10,2015-09-08,S50U15C800,80.9,80.9,80.9,80.9,97.1,5,142.0
11,2015-09-09,S50U15C800,0,0,0,0,109.0,0,142.0
12,2015-09-10,S50U15C800,101.5,101.5,101.5,101.5,102.9,6,142.0
13,2015-09-11,S50U15C800,0,0,0,0,96.4,0,142.0
14,2015-09-14,S50U15C800,0,0,0,0,93.6,0,142.0
15,2015-09-15,S50U15C800,0,0,0,0,89.3,0,142.0
16,2015-09-16,S50U15C800,0,0,0,0,97.7,0,142.0
17,2015-09-17,S50U15C800,0,0,0,0,103.9,0,142.0
18,2015-09-18,S50U15C800,0,0,0,0,102.7,0,142.0
19,2015-09-21,S50U15C800,0,0,0,0,105.0,0,142.0
20,2015-09-22,S50U15C800,0,0,0,0,93.9,0,142.0
21,2015-09-23,S50U15C800,0,0,0,0,88.6,0,142.0
22,2015-09-24,S50U15C800,0,0,0,0,87.6,0,142.0
23,2015-09-25,S50U15C800,0,0,0,0,90.3,0,142.0
24,2015-09-28,S50U15C800,0,0,0,0,72.2,0,142.0
25,2015-09-29,S50U15C800,0,0,0,0,870.35,0,142.0
26,2015-08-24,S50U15C825,34.7,37.9,22.0,22.0,22.1,273,238.0
27,2015-08-25,S50U15C825,30.5,43.9,27.3,29.2,29.2,311,252.0
28,2015-08-26,S50U15C825,34.8,44.8,34.8,35.7,35.7,178,281.0
29,2015-08-27,S50U15C825,43.0,54.6,43.0,54.5,68.5,106,236.0
30,2015-08-28,S50U15C825,68.5,70.3,64.0,64.0,73.9,8,232.0
31,2015-08-31,S50U15C825,69.9,69.9,69.9,69.9,69.9,5,237.0
32,2015-09-01,S50U15C825,60.0,62.5,59.0,59.1,68.7,6,237.0
33,2015-09-02,S50U15C825,0,0,0,0,75.5,0,237.0
34,2015-09-03,S50U15C825,72.3,72.3,72.3,72.3,80.2,2,235.0
35,2015-09-04,S50U15C825,63.0,63.0,62.0,62.0,62.0,3,237.0
36,2015-09-07,S50U15C825,61.9,62.0,61.9,62.0,62.0,6,232.0
37,2015-09-08,S50U15C825,62.0,66.0,62.0,66.0,66.0,8,231.0
38,2015-09-09,S50U15C825,0,0,0,0,84.7,0,231.0
39,2015-09-10,S50U15C825,72.7,77.2,72.7,77.2,78.8,8,231.0
40,2015-09-11,S50U15C825,79.8,80.5,79.8,80.1,72.2,3,231.0
41,2015-09-14,S50U15C825,0,0,0,0,69.1,0,231.0
42,2015-09-15,S50U15C825,62.0,62.0,62.0,62.0,64.8,1,231.0
43,2015-09-16,S50U15C825,69.7,69.7,69.7,69.7,72.9,1,231.0
44,2015-09-17,S50U15C825,75.3,75.3,75.3,75.3,79.0,10,230.0
45,2015-09-18,S50U15C825,0,0,0,0,77.7,0,230.0
46,2015-09-21,S50U15C825,0,0,0,0,80.0,0,230.0
47,2015-09-22,S50U15C825,76.5,76.5,76.5,76.5,68.9,1,229.0
48,2015-09-23,S50U15C825,67.4,67.4,64.0,64.0,64.0,2,229.0
49,2015-09-24,S50U15C825,0,0,0,0,62.7,0,229.0
50,2015-09-25,S50U15C825,0,0,0,0,65.3,0,229.0
51,2015-09-28,S50U15C825,60.0,60.0,60.0,60.0,47.2,1,229.0
52,2015-09-29,S50U15C825,0,0,0,0,870.35,0,229.0
53,2015-08-19,S50U15C850,40.0,42.9,40.0,42.9,42.9,23,23.0
54,2015-08-20,S50U15C850,37.0,37.0,36.0,36.0,36.0,6,20.0
55,2015-08-21,S50U15C850,31.1,34.9,28.5,34.9,34.7,48,67.0
56,2015-08-24,S50U15C850,21.2,21.2,10.3,10.3,10.6,422,298.0
57,2015-08-25,S50U15C850,16.0,27.8,13.2,23.0,23.0,718,583.0
58,2015-08-26,S50U15C850,20.9,27.0,19.8,22.0,22.0,96,626.0
59,2015-08-27,S50U15C850,30.0,40.8,27.6,40.4,40.3,300,661.0
60,2015-08-28,S50U15C850,47.1,50.0,43.0,47.7,47.7,93,617.0
61,2015-08-31,S50U15C850,48.4,55.1,48.0,55.1,55.1,63,630.0
62,2015-09-01,S50U15C850,46.0,50.0,36.0,36.0,36.0,34,648.0
63,2015-09-02,S50U15C850,36.1,48.0,36.1,46.9,46.9,100,651.0
64,2015-09-03,S50U15C850,51.0,51.0,50.0,50.0,50.0,3,649.0
65,2015-09-04,S50U15C850,46.5,46.5,38.1,42.2,42.2,63,684.0
66,2015-09-07,S50U15C850,36.7,42.0,36.7,42.0,42.0,19,693.0
67,2015-09-08,S50U15C850,35.8,46.2,32.0,46.0,46.0,21,701.0
68,2015-09-09,S50U15C850,53.0,59.6,51.3,59.0,61.7,85,692.0
69,2015-09-10,S50U15C850,48.0,52.7,48.0,52.7,54.2,17,702.0
70,2015-09-11,S50U15C850,56.1,56.1,44.0,44.0,43.0,16,704.0
71,2015-09-14,S50U15C850,44.6,45.1,38.0,38.0,39.2,31,690.0
72,2015-09-15,S50U15C850,38.0,41.0,35.0,35.0,35.0,53,664.0
73,2015-09-16,S50U15C850,39.5,46.0,39.5,46.0,49.0,22,664.0
74,2015-09-17,S50U15C850,49.9,49.9,48.0,48.0,54.6,2,665.0
75,2015-09-18,S50U15C850,49.4,49.4,49.4,49.4,53.2,15,650.0
76,2015-09-21,S50U15C850,49.0,55.1,48.0,55.1,55.1,130,722.0
77,2015-09-22,S50U15C850,53.2,53.2,42.0,42.0,42.0,15,723.0
78,2015-09-23,S50U15C850,36.7,41.0,30.0,41.0,41.0,26,726.0
79,2015-09-24,S50U15C850,36.0,39.6,29.7,35.3,35.3,166,681.0
80,2015-09-25,S50U15C850,35.1,43.0,35.1,37.9,37.9,22,668.0
81,2015-09-28,S50U15C850,31.0,33.0,24.0,24.0,24.0,46,659.0
82,2015-09-29,S50U15C850,15.0,28.0,15.0,28.0,870.35,16,656.0
83,2015-07-28,S50U15C875,42.6,42.6,42.5,42.6,46.0,7,7.0
84,2015-07-29,S50U15C875,48.7,48.7,48.7,48.7,51.5,1,8.0
85,2015-07-31,S50U15C875,0,0,0,0,74.4,0,8.0
86,2015-08-03,S50U15C875,0,0,0,0,73.6,0,8.0
87,2015-08-04,S50U15C875,57.3,57.3,57.3,57.3,57.3,2,10.0
