,Remaining Day,Minimum,-2.0 S.D.,-1.5 S.D.,-1.0 S.D.,-0.5 S.D.,Median,Mean,+0.5 S.D.,+1.0 S.D.,+1.5 S.D.,+2.0 S.D.,Maximum
0,125,9.626274065685164,5.162485096152441,6.888764151753548,8.615043207354654,10.34132226295576,12.067601318556868,12.067601318556868,13.793880374157975,15.520159429759081,17.246438485360187,18.972717540961295,14.508928571428571
1,124,9.42350332594235,6.9231982370106575,8.498722152119658,10.074246067228659,11.64976998233766,13.429752066115704,13.22529389744666,14.80081781255566,16.37634172766466,17.95186564277366,19.527389557882664,18.66883116883117
2,123,6.7090395480225995,6.741776243580831,8.609986029442611,10.47819581530439,12.346405601166172,14.95398773006135,14.214615387027951,16.08282517288973,17.95103495875151,19.819244744613293,21.687454530475073,19.524617996604416
3,122,6.73281360737066,3.801836760134904,6.865385714429419,9.928934668723935,12.992483623018451,15.224471878691972,16.056032577312966,19.11958153160748,22.183130485901998,25.246679440196512,28.310228394491027,37.03703703703704
4,121,6.629448709002093,2.808379934968233,6.041394005249888,9.274408075531543,12.5074221458132,14.913657770800627,15.740436216094855,18.97345028637651,22.206464356658167,25.43947842693982,28.672492497221477,41.32231404958678
5,120,2.429624664879357,1.9110433681256929,5.055873241484225,8.200703114842756,11.34553298820129,14.338235294117647,14.490362861559822,17.635192734918355,20.780022608276887,23.92485248163542,27.06968235499395,41.666666666666664
6,119,2.4231283422459895,2.1004850281785785,5.18048279680592,8.260480565433262,11.340478334060602,13.968481375358166,14.420476102687944,17.500473871315286,20.580471639942626,23.660469408569966,26.74046717719731,42.016806722689076
7,118,2.5270128964796097,1.595327050986004,4.722475955467084,7.849624859948165,10.976773764429245,13.88888888888889,14.103922668910325,17.231071573391404,20.358220477872486,23.485369382353568,26.612518286834646,41.84100418410042
8,117,2.561475409836066,1.365523312071172,4.554074867275258,7.7426264224793435,10.93117797768343,13.605442176870747,14.119729532887515,17.3082810880916,20.496832643295686,23.685384198499772,26.873935753703858,43.10344827586207
9,116,2.662406815761448,1.696428197637875,4.883753158769633,8.071078119901392,11.258403081033151,13.869625520110958,14.445728042164909,17.633053003296666,20.820377964428424,24.007702925560185,27.195027886691943,43.66812227074236
10,115,2.5541795665634677,1.454697138726873,4.579909638491969,7.705122138257066,10.830334638022162,13.407193800302814,13.955547137787258,17.080759637552354,20.205972137317453,23.331184637082547,26.45639713684764,41.32231404958678
11,114,2.6220911176663386,1.3263156082478993,4.5149100714939046,7.703504534739911,10.892098997985917,13.378237479624254,14.080693461231922,17.26928792447793,20.457882387723934,23.64647685096994,26.835071314215945,42.5531914893617
12,113,2.7229407760381217,1.6779538986604976,4.813661213247379,7.9493685278342605,11.085075842421142,13.620697103220152,14.220783157008023,17.356490471594906,20.492197786181787,23.62790510076867,26.76361241535555,41.49377593360995
