,Date,Symbol,Open,High,Low,Close,SP,Vol,OI
0,2016-10-13,S50H17P850,40.9,60.0,40.9,43.4,43.4,39,39.0
1,2016-10-14,S50H17P850,29.3,29.4,20.0,20.0,20.0,10,49.0
2,2016-10-17,S50H17P850,0,0,0,0,27.6,0,49.0
3,2016-10-18,S50H17P850,0,0,0,0,26.2,0,49.0
4,2016-10-19,S50H17P850,20.0,20.0,18.1,18.1,23.7,11,50.0
5,2016-10-20,S50H17P850,0,0,0,0,21.1,0,50.0
6,2016-10-21,S50H17P850,0,0,0,0,18.9,0,50.0
7,2016-10-25,S50H17P850,10.4,19.0,10.4,18.9,18.5,4,50.0
8,2016-10-26,S50H17P850,18.8,22.0,18.8,19.4,19.4,10,55.0
9,2016-10-27,S50H17P850,19.8,19.8,19.8,19.8,19.8,3,58.0
10,2016-10-28,S50H17P850,0,0,0,0,15.5,0,58.0
11,2016-10-31,S50H17P850,18.5,18.5,18.5,18.5,18.5,1,58.0
12,2016-11-01,S50H17P850,0,0,0,0,12.3,0,58.0
13,2016-11-02,S50H17P850,0,0,0,0,12.2,0,58.0
14,2016-11-03,S50H17P850,0,0,0,0,12.4,0,58.0
15,2016-11-04,S50H17P850,0,0,0,0,12.8,0,58.0
16,2016-11-07,S50H17P850,13.5,13.5,13.4,13.4,13.4,2,60.0
17,2016-11-08,S50H17P850,12.0,12.0,12.0,12.0,12.0,1,61.0
18,2016-11-09,S50H17P850,14.0,14.0,14.0,14.0,14.0,1,60.0
19,2016-11-10,S50H17P850,14.6,14.7,14.6,14.7,14.7,3,63.0
20,2016-11-11,S50H17P850,16.5,16.5,16.5,16.5,16.5,2,64.0
21,2016-11-14,S50H17P850,17.0,20.9,17.0,20.9,20.9,12,75.0
22,2016-11-15,S50H17P850,9.5,20.0,9.5,20.0,19.7,16,88.0
23,2016-11-16,S50H17P850,17.5,20.9,17.5,20.9,20.9,60,148.0
24,2016-11-17,S50H17P850,20.5,20.5,20.5,20.5,20.5,15,163.0
25,2016-11-18,S50H17P850,17.9,18.0,17.9,18.0,18.0,40,203.0
26,2016-11-21,S50H17P850,19.1,19.1,19.0,19.0,19.0,101,304.0
27,2016-11-22,S50H17P850,12.9,16.0,12.9,15.7,15.7,58,334.0
28,2016-11-23,S50H17P850,16.0,16.0,12.6,14.3,14.3,91,424.0
29,2016-11-24,S50H17P850,15.0,15.0,15.0,15.0,15.0,155,559.0
30,2016-11-25,S50H17P850,13.0,13.8,13.0,13.0,13.0,52,601.0
31,2016-11-28,S50H17P850,14.0,18.2,12.0,12.4,12.4,45,624.0
32,2016-11-29,S50H17P850,12.5,12.8,11.6,12.8,12.8,240,846.0
33,2016-11-30,S50H17P850,10.8,13.8,10.8,12.6,12.5,211,930.0
34,2016-12-01,S50H17P850,10.6,10.6,8.2,10.0,10.0,29,945.0
35,2016-12-02,S50H17P850,12.8,12.8,10.0,10.5,10.5,25,959.0
36,2016-12-06,S50H17P850,10.5,10.5,8.0,8.0,8.0,112,1071.0
37,2016-12-07,S50H17P850,8.0,8.5,8.0,8.0,8.0,190,1171.0
38,2016-12-08,S50H17P850,7.5,7.8,6.0,6.0,6.0,80,1248.0
39,2016-12-09,S50H17P850,6.6,8.2,6.2,6.2,6.2,32,1275.0
40,2016-12-13,S50H17P850,6.5,7.0,5.7,5.8,5.8,12,1276.0
41,2016-12-14,S50H17P850,5.7,6.6,5.7,6.6,6.5,14,1280.0
42,2016-12-15,S50H17P850,5.0,5.0,5.0,5.0,5.0,1,1281.0
43,2016-12-16,S50H17P850,5.0,5.9,5.0,5.9,5.8,9,1285.0
44,2016-12-19,S50H17P850,5.0,8.0,5.0,5.0,5.0,205,1296.0
45,2016-12-20,S50H17P850,4.8,4.8,4.8,4.8,4.8,1,1297.0
46,2016-12-21,S50H17P850,5.5,5.5,5.0,5.0,5.0,9,1300.0
47,2016-12-22,S50H17P850,5.2,5.2,4.9,4.9,4.9,27,1309.0
48,2016-12-23,S50H17P850,4.5,4.5,4.5,4.5,4.5,5,1309.0
49,2016-12-26,S50H17P850,4.7,5.2,4.5,4.5,4.5,29,1309.0
50,2016-12-27,S50H17P850,5.0,5.0,3.8,4.4,4.2,10,1313.0
51,2016-12-28,S50H17P850,4.2,4.2,4.0,4.0,4.0,26,1332.0
52,2016-12-29,S50H17P850,4.5,5.8,4.0,4.3,3.5,541,1855.0
53,2016-12-30,S50H17P850,4.0,4.1,2.7,3.3,3.3,70,1897.0
54,2017-01-04,S50H17P850,3.0,3.1,2.3,2.3,2.3,174,1899.0
55,2017-01-05,S50H17P850,2.6,2.7,2.0,2.0,2.1,115,1901.0
56,2017-01-06,S50H17P850,2.9,3.0,2.4,2.4,2.4,63,1907.0
57,2017-01-09,S50H17P850,2.1,2.6,1.7,2.6,2.6,151,1941.0
58,2017-01-10,S50H17P850,2.1,2.3,2.1,2.2,2.2,110,1964.0
59,2017-01-11,S50H17P850,1.9,2.0,1.9,2.0,2.0,12,1966.0
60,2017-01-12,S50H17P850,1.9,2.3,1.9,2.3,2.3,52,1980.0
61,2017-01-13,S50H17P850,2.0,2.0,1.8,1.9,1.9,12,1975.0
62,2017-01-16,S50H17P850,2.0,2.0,1.8,1.8,1.8,59,1976.0
63,2017-01-17,S50H17P850,1.8,1.9,1.8,1.9,1.9,56,1983.0
64,2017-01-18,S50H17P850,2.0,2.0,1.8,2.0,2.0,63,1983.0
65,2017-01-19,S50H17P850,1.9,2.2,1.9,2.1,2.1,74,1954.0
66,2017-01-20,S50H17P850,2.0,2.0,1.8,1.8,1.8,30,1955.0
